,precision,recall,f1-score,support
A,1.0,1.0,1.0,331.0
B,1.0,1.0,1.0,432.0
C,1.0,1.0,1.0,310.0
D,1.0,1.0,1.0,245.0
E,0.9900596421471173,1.0,0.995004995004995,498.0
F,1.0,1.0,1.0,247.0
G,1.0,1.0,1.0,348.0
H,1.0,1.0,1.0,436.0
I,1.0,1.0,1.0,288.0
K,1.0,1.0,1.0,331.0
L,0.990521327014218,1.0,0.9952380952380953,209.0
M,1.0,1.0,1.0,394.0
N,1.0,1.0,1.0,291.0
O,1.0,1.0,1.0,246.0
P,1.0,1.0,1.0,347.0
Q,1.0,1.0,1.0,164.0
R,1.0,1.0,1.0,144.0
S,1.0,0.9796747967479674,0.9897330595482546,246.0
T,1.0,0.9919354838709677,0.9959514170040485,248.0
U,1.0,1.0,1.0,266.0
V,1.0,1.0,1.0,346.0
W,1.0,1.0,1.0,206.0
X,1.0,1.0,1.0,267.0
Y,1.0,1.0,1.0,332.0
macro avg,0.9991908737150555,0.998817095025789,0.998996981949808,7172.0
weighted avg,0.9990335553730112,0.9990239821528165,0.9990222439323933,7172.0
